year,st_nm,heatwave_days,median_wbt
2000,Andhra Pradesh,16,22.9009195
2000,Arunanchal Pradesh,8,11.693512
2000,Assam,6,20.283526
2000,Bihar,7,23.032125
2000,Chandigarh,27,22.436865
2000,Chhattisgarh,20,22.695145
2000,Dadara & Nagar Havelli,6,20.962133
2000,Goa,4,19.644087
2000,Gujarat,20,23.029788500000002
2000,Haryana,34,23.793107
2000,Himachal Pradesh,19,11.038065
2000,Jammu & Kashmir,18,9.705632999999999
2000,Jharkhand,8,22.439638
2000,Karnataka,19,20.659153
2000,Kerala,6,19.071436
2000,Madhya Pradesh,18,22.5558015
2000,Maharashtra,9,22.140202
2000,Manipur,3,16.183918
2000,Meghalaya,9,17.658846
2000,Mizoram,4,18.3370885
2000,NCT of Delhi,31,23.915182
2000,Nagaland,3,16.480154
2000,Odisha,26,22.591258
2000,Puducherry,28,20.554209
2000,Punjab,36,24.324485000000003
2000,Rajasthan,39,23.777819
2000,Sikkim,8,5.6434593
2000,Tamil Nadu,21,21.663055
2000,Telangana,17,23.291857
2000,Tripura,4,20.749670000000002
2000,Uttar Pradesh,19,23.388569
2000,Uttarakhand,15,12.780775
2000,West Bengal,8,21.509138
2001,Andaman & Nicobar Island,26,17.0788625
2001,Andhra Pradesh,20,22.679108499999998
2001,Arunanchal Pradesh,17,12.396418
2001,Assam,7,19.547613
2001,Bihar,5,23.027893
2001,Chandigarh,18,21.861861
2001,Chhattisgarh,22,22.91903
2001,Dadara & Nagar Havelli,8,21.290508
2001,Goa,3,19.366161
2001,Gujarat,12,23.625232500000003
2001,Haryana,20,23.656543
2001,Himachal Pradesh,26,11.529877500000001
2001,Jammu & Kashmir,27,10.142004
2001,Jharkhand,10,22.3152895
2001,Karnataka,16,20.665346
2001,Kerala,10,19.120110500000003
2001,Madhya Pradesh,16,22.9641045
2001,Maharashtra,13,22.30877
2001,Meghalaya,3,17.646538
2001,Mizoram,4,18.0382
2001,NCT of Delhi,21,23.950277
2001,Nagaland,7,16.497246
2001,Odisha,20,23.1674595
2001,Puducherry,32,20.8453805
2001,Punjab,21,23.832802
2001,Rajasthan,22,24.125187
2001,Sikkim,18,5.4553220499999995
2001,Tamil Nadu,18,21.7134525
2001,Telangana,20,23.5268315
2001,Tripura,4,20.387887
2001,Uttar Pradesh,9,22.941074
2001,Uttarakhand,12,12.813184
