,state_ut,year,deaths,heatwave_days,median_wbt
0,Andhra Pradesh,2001,46,20,22.6791085
1,Assam,2001,7,7,19.547613
2,Bihar,2001,47,5,23.027893
3,Chhattisgarh,2001,5,22,22.91903
4,Goa,2001,6,3,19.366161
5,Gujarat,2001,24,12,23.625232500000003
6,Haryana,2001,1,20,23.656543
7,Himachal Pradesh,2001,2,26,11.5298775
8,Jharkhand,2001,2,10,22.3152895
9,Karnataka,2001,2,16,20.665346
10,Kerala,2001,0,10,19.120110500000003
11,Madhya Pradesh,2001,8,16,22.9641045
12,Maharashtra,2001,43,13,22.30877
13,Meghalaya,2001,0,3,17.646538
14,Mizoram,2001,0,4,18.0382
15,Nagaland,2001,0,7,16.497246
16,Odisha,2001,60,20,23.1674595
17,Punjab,2001,55,21,23.832802
18,Rajasthan,2001,19,22,24.125187
19,Sikkim,2001,0,18,5.45532205
20,Tamil Nadu,2001,27,18,21.7134525
21,Tripura,2001,4,4,20.387887
22,Uttar Pradesh,2001,52,9,22.941074
23,Uttarakhand,2001,0,12,12.813184
24,West Bengal,2001,66,8,21.675734
25,Chandigarh,2001,1,18,21.861861
26,Jammu & Kashmir,2001,0,27,10.142004
27,Puducherry,2001,0,32,20.8453805
28,Andhra Pradesh,2002,80,28,22.7479465
29,Assam,2002,2,7,20.228926
30,Bihar,2002,22,10,23.4040585
31,Chhattisgarh,2002,20,31,22.89129
32,Goa,2002,0,20,19.95541
33,Gujarat,2002,47,33,23.128954
34,Haryana,2002,17,56,23.812186
35,Himachal Pradesh,2002,0,33,11.245923
36,Jharkhand,2002,6,26,22.262961500000003
37,Karnataka,2002,4,23,21.060892
38,Kerala,2002,0,23,19.324709
39,Madhya Pradesh,2002,32,42,22.8110885
40,Maharashtra,2002,50,29,22.211918
41,Manipur,2002,0,4,16.2016265
42,Meghalaya,2002,0,6,17.793998000000002
43,Mizoram,2002,0,5,18.54153
44,Nagaland,2002,0,6,16.5181695
45,Odisha,2002,77,32,23.367911
46,Punjab,2002,39,47,24.116772
47,Rajasthan,2002,57,39,24.600357
48,Sikkim,2002,0,8,5.280628699999999
49,Tamil Nadu,2002,26,20,21.657606
50,Tripura,2002,0,2,20.921575
51,Uttar Pradesh,2002,134,44,23.3085405
52,Uttarakhand,2002,0,26,13.1083725
53,West Bengal,2002,62,13,21.68261
54,Chandigarh,2002,0,35,22.09462
55,Jammu & Kashmir,2002,0,19,10.131773
56,Puducherry,2002,0,27,20.53846
57,Andhra Pradesh,2003,100,44,23.557088
58,Assam,2003,4,9,20.545301
59,Bihar,2003,70,24,23.318204
60,Chhattisgarh,2003,22,29,23.064735
61,Goa,2003,0,16,19.841142
62,Gujarat,2003,30,24,23.1693935
63,Haryana,2003,2,19,24.379223
64,Himachal Pradesh,2003,8,36,11.179987
65,Jharkhand,2003,8,41,22.248003
66,Karnataka,2003,6,44,20.710245
67,Kerala,2003,4,10,19.0098285
68,Madhya Pradesh,2003,39,30,22.615447
69,Maharashtra,2003,77,29,22.203829
70,Manipur,2003,0,8,16.7013075
71,Meghalaya,2003,0,11,17.767807
72,Mizoram,2003,0,11,19.157906
73,Nagaland,2003,1,8,16.749519
74,Odisha,2003,98,47,23.611229
75,Punjab,2003,38,22,24.330859
76,Rajasthan,2003,44,27,24.739838
77,Sikkim,2003,0,13,5.5329447
78,Tamil Nadu,2003,54,35,21.984304
79,Tripura,2003,2,11,20.94258
80,Uttar Pradesh,2003,126,26,23.7888355
81,Uttarakhand,2003,0,25,13.166073
82,West Bengal,2003,52,30,22.040453
83,Chandigarh,2003,0,20,22.7438125
84,Jammu & Kashmir,2003,3,27,10.112662
85,Puducherry,2003,0,33,20.677053
86,Andhra Pradesh,2004,52,13,23.111437
87,Bihar,2004,32,20,23.8421785
88,Chhattisgarh,2004,9,28,22.3984485
89,Goa,2004,0,13,20.07959
90,Gujarat,2004,12,19,23.174126
91,Haryana,2004,4,28,23.8629205
92,Himachal Pradesh,2004,0,27,11.520353
93,Jharkhand,2004,19,23,22.665817
94,Karnataka,2004,7,17,20.636673
95,Kerala,2004,1,29,19.735624
96,Madhya Pradesh,2004,158,27,22.439283
97,Maharashtra,2004,62,16,21.9377605
98,Meghalaya,2004,1,1,18.155998
99,Mizoram,2004,0,9,18.17389
100,Nagaland,2004,0,1,15.901244
101,Odisha,2004,76,26,22.9755915
102,Punjab,2004,43,24,23.8622495
103,Rajasthan,2004,37,34,23.700991
104,Sikkim,2004,0,5,5.3172665
105,Tamil Nadu,2004,14,24,21.745249
106,Tripura,2004,0,10,20.537848500000003
107,Uttar Pradesh,2004,95,25,23.793106
108,Uttarakhand,2004,0,21,13.233118
109,West Bengal,2004,96,27,22.58556
110,Chandigarh,2004,0,21,22.433615
111,Jammu & Kashmir,2004,2,24,10.176252
112,Puducherry,2004,0,7,20.84377
113,Andhra Pradesh,2005,105,32,23.253747
114,Assam,2005,13,18,20.064189
115,Bihar,2005,68,35,24.883322
116,Chhattisgarh,2005,14,35,23.483107
117,Goa,2005,0,14,19.8306885
118,Gujarat,2005,13,28,23.138235
119,Haryana,2005,19,16,24.3204615
120,Himachal Pradesh,2005,3,15,11.034453
121,Jharkhand,2005,60,41,23.467249
122,Karnataka,2005,15,23,20.56239
123,Kerala,2005,0,39,19.280516
124,Madhya Pradesh,2005,24,31,22.621744
125,Maharashtra,2005,69,28,22.157953
126,Manipur,2005,0,8,16.938334500000003
127,Meghalaya,2005,0,14,17.485843
128,Mizoram,2005,0,20,18.441685
129,Nagaland,2005,0,13,16.101706
130,Odisha,2005,94,40,23.849413
131,Punjab,2005,87,12,25.119498
132,Rajasthan,2005,38,22,24.0815905
133,Sikkim,2005,0,14,5.3802845
